"FORMULARIO";"C_001_01";"C_001_02";"C_001_03";"C_001_04";"C_001_05";"C_001_06";"C_001_07";"C_001_08";"C_001_09";"C_001_10";"C_001_11";"C_001_12";"C_001_13";"C_001_77";"C_001_77_A";"C_001_77_B";"C_001_77_C";"C_001_PLACA";"C_001_88";"F_EXP"
"0462";0;0;0;0;0;0;0;0;0;0;0;1;0;0;"0";"0";"0";0;0;37,59
"0463";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;37,59
"0470";1;0;0;0;0;0;0;0;0;0;2;0;0;;;;;1;0;22,37
"0473";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;21,23
"0475";1;0;0;1;0;0;0;0;0;0;1;0;0;;;;;2;0;63,87
"0476";0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;0;0;18,96
"0477";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;15,91
"0478";1;0;0;1;0;0;0;0;0;0;2;0;0;0;"0";"0";"0";2;0;92,17
"0481";1;0;0;1;0;0;0;0;0;0;0;0;0;;;;;2;0;25,30
"0482";0;0;0;0;0;0;0;0;0;0;1;1;0;0;"0";"0";"0";0;0;46,41
"0485";1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;0;76,60
"0486";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;42,34
"0487";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;41,32
"0488";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;6,58
"0489";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;6,58
"0490";0;0;0;3;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";3;0;58,79
"0491";2;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";2;0;11,09
"0492";2;0;0;0;0;0;0;0;0;0;0;0;0;;;;;2;0;20,09
"0493";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;18,84
"0495";2;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";2;0;13,46
"0496";0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;1;0;13,42
"0497";2;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";2;0;11,09
"0498";1;0;0;0;0;0;0;0;0;0;2;2;0;0;"0";"0";"0";1;0;14,83
"0499";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;98,32
"0507";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;12,71
"0514";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;13,33
"0519";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;17,18
"0521";0;0;0;2;0;0;0;0;0;0;6;0;0;0;"0";"0";"0";2;0;66,67
"0522";1;0;0;0;0;0;0;0;0;0;1;0;0;;;;;1;0;53,69
"0523";0;0;0;1;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";1;0;46,27
"0524";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;47,48
"0525";0;0;0;0;0;0;0;0;0;0;1;0;0;;;;;0;0;58,30
"0526";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;22,48
"0527";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";"0";"0";0;0;25,50
"0528";0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;1;0;58,30
"0530";0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;13,98
