FORMULARIO;ID_000;ID_003;ID_004;ID_005;ID_006;ID_008_HH;ID_008_MM;ID_008_A;A_003;A_004;A_005;A_006;A_007;A_008;Municipio;Comuna;Estrato;F_EXP
3505;9147;610;5;03-23-0119;25/8/2017 0:00:00;1;25;p. m.;1;1;3;1;4;4;La Virginia;La Virginia;3;36,31
3506;NA;610;2;03-23-0129;25/8/2017 0:00:00;11;38;a. m.;1;1;3;1;1;1;La Virginia;La Virginia;3;40,03
3507;9147;610;2;03-23-0129;25/8/2017 0:00:00;11;42;a. m.;1;1;3;1;3;3;La Virginia;La Virginia;3;39,34
3508;9575;610;5;03-23-0119;25/8/2017 0:00:00;2;0;p. m.;1;3;3;1;4;3;La Virginia;La Virginia;3;36,31
3509;NA;610;4;03-23-0121;25/8/2017 0:00:00;12;0;p. m.;1;1;3;1;3;3;La Virginia;La Virginia;3;81,47
3510;NA;610;5;03-23-0119;25/8/2017 0:00:00;12;30;p. m.;1;1;3;1;3;3;La Virginia;La Virginia;3;36,61
3511;NA;619;3;02-24-0087;24/8/2017 0:00:00;5;0;p. m.;1;3;2;1;2;2;Dosquebradas;Dosquebradas 1;2;126,54
3512;9575;666;2;02-26-1194;25/8/2017 0:00:00;2;30;p. m.;1;1;4;1;3;3;Dosquebradas;Dosquebradas 3;4;70,71
3513;9147;665;2;02-26-1336;25/8/2017 0:00:00;4;0;p. m.;1;3;4;1;4;3;Dosquebradas;Dosquebradas 3;4;50,44
3514;9147;664;3;02-26-1330;25/8/2017 0:00:00;4;40;p. m.;1;3;4;1;4;4;Dosquebradas;Dosquebradas 3;4;66,48
3515;9147;664;3;02-26-1330;25/8/2017 0:00:00;5;30;p. m.;1;2;4;1;4;4;Dosquebradas;Dosquebradas 3;4;66,48
3516;9147;616;1;02-24-0361;24/8/2017 0:00:00;2;35;p. m.;1;3;2;1;4;4;Dosquebradas;Dosquebradas 1;2;34,38
3517;9575;615;3;02-24-0073;24/8/2017 0:00:00;3;30;p. m.;1;1;2;1;7;7;Dosquebradas;Dosquebradas 1;2;47,88
3518;9575;620;2;02-24-0064;24/8/2017 0:00:00;5;0;p. m.;1;3;2;1;4;2;Dosquebradas;Dosquebradas 1;2;43,33
3519;9575;620;2;02-24-0064;24/8/2017 0:00:00;5;30;p. m.;1;1;2;1;3;3;Dosquebradas;Dosquebradas 1;2;45,48
3520;9147;620;3;02-24-0186;24/8/2017 0:00:00;6;0;p. m.;1;1;2;1;4;4;Dosquebradas;Dosquebradas 1;2;141,08
3521;6744;666;2;02-26-1194;25/8/2017 0:00:00;2;30;p. m.;1;1;4;1;4;4;Dosquebradas;Dosquebradas 3;4;69,70
3522;6744;665;2;02-26-1336;25/8/2017 0:00:00;4;0;p. m.;1;1;4;1;2;2;Dosquebradas;Dosquebradas 3;4;51,50
3523;9575;664;3;02-26-1330;25/8/2017 0:00:00;4;30;p. m.;1;1;4;1;4;3;Dosquebradas;Dosquebradas 3;4;66,48
3524;6744;664;3;02-26-1330;25/8/2017 0:00:00;5;0;p. m.;1;1;4;1;4;4;Dosquebradas;Dosquebradas 3;4;66,48
3525;6744;659;5;02-26-1105;29/8/2017 0:00:00;4;0;p. m.;3;3;2;4;1;1;Dosquebradas;Dosquebradas 3;2;25,22
3526;6744;617;2;02-24-0338;24/8/2017 0:00:00;3;50;p. m.;1;3;2;1;4;4;Dosquebradas;Dosquebradas 1;2;23,66
3527;6744;620;2;02-24-0064;24/8/2017 0:00:00;5;20;p. m.;1;3;2;1;2;2;Dosquebradas;Dosquebradas 1;2;47,63
3528;6744;620;3;02-24-0186;24/8/2017 0:00:00;6;20;p. m.;1;1;2;1;2;2;Dosquebradas;Dosquebradas 1;2;533,18
3529;6744;666;1;02-26-1178;25/8/2017 0:00:00;2;35;p. m.;1;1;4;1;5;5;Dosquebradas;Dosquebradas 3;4;71,83
3530;6744;665;5;02-26-1173;25/8/2017 0:00:00;3;42;p. m.;1;1;4;1;2;2;Dosquebradas;Dosquebradas 3;4;53,17
3531;6744;619;3;02-24-0087;24/8/2017 0:00:00;6;0;p. m.;1;3;2;4;3;3;Dosquebradas;Dosquebradas 1;2;104,56
3532;6744;619;3;02-24-0087;24/8/2017 0:00:00;6;20;p. m.;1;1;2;1;2;2;Dosquebradas;Dosquebradas 1;2;126,54
3533;6744;666;2;02-26-1194;25/8/2017 0:00:00;2;20;p. m.;1;3;4;1;3;3;Dosquebradas;Dosquebradas 3;4;70,71
3534;9575;619;4;02-24-0085;24/8/2017 0:00:00;5;15;p. m.;1;3;2;1;3;3;Dosquebradas;Dosquebradas 1;2;85,96
3536;9575;619;4;02-24-0085;24/8/2017 0:00:00;6;15;p. m.;1;1;2;1;2;2;Dosquebradas;Dosquebradas 1;2;96,83
