"FORMULARIO";"C_002";"C_003";"C_004";"C_005";"C_006";"C_007";"C_008";"C_009";"F_EXP"
"0936";1;1;1;"11001";2007;1;1;0,00;70,63
"0937";1;1;1;"05001";2011;1;1;0,00;28,70
"0938";1;1;1;"66001";2014;1;1;0,00;24,11
"0938";2;1;1;"66001";2016;1;1;0,00;24,11
"0939";1;4;1;"52001";2000;1;1;0,00;8,04
"0939";2;5;4;"66170";2011;5;2;60000,00;8,04
"0943";1;1;1;"11001";2006;1;3;20000,00;13,11
"0944";1;1;1;"73001";2008;1;1;0,00;4,61
"0950";1;1;1;"66001";2014;1;1;0,00;5,02
"0951";1;1;1;"76001";2012;1;1;0,00;108,30
"0951";2;1;1;"76001";2008;1;1;0,00;108,30
"0960";1;4;1;"66001";2003;1;1;0,00;28,05
"0962";1;1;1;"66001";2003;1;1;0,00;8,83
"0963";1;1;1;"70001";2015;1;1;0,00;8,83
"0964";1;1;1;"66001";2017;1;3;0,00;8,84
"0966";1;1;1;"68001";1994;1;1;0,00;8,85
"0967";1;4;1;"05134";2012;1;1;0,00;47,91
"0969";1;6;6;"27001";9999;1;2;0,00;29,74
"0971";1;1;1;"11001";1995;1;1;0,00;22,23
"0971";2;1;1;"11001";1993;1;1;0,00;22,23
"0973";1;4;1;"66001";2007;1;1;0,00;29,90
"0975";1;1;1;"66001";9999;1;3;0,00;11,30
"0979";1;1;1;"17001";9999;1;2;50000,00;19,28
"0979";2;4;1;"41206";9999;1;2;50000,00;19,28
"0983";1;4;1;"66001";2017;1;1;0,00;147,32
"0985";1;4;1;"66001";2006;1;1;0,00;14,12
"0986";1;2;1;"05266";2011;1;4;0,00;16,47
"0989";1;1;1;"17001";2000;1;2;0,00;17,52
"0990";1;1;1;"05266";2016;1;1;0,00;18,60
"0990";2;1;1;"66682";2009;1;1;0,00;18,60
"0993";1;4;1;"66001";2004;1;1;0,00;18,06
"0995";1;1;1;"66001";2013;1;2;0,00;26,44
"0997";1;1;1;"11001";9999;1;1;0,00;25,30
"0997";2;4;1;"66001";9999;1;1;0,00;25,30
"1003";1;4;1;"41206";2014;1;1;0,00;67,11
"1007";1;4;1;"66001";9999;1;1;0,00;67,11
"1019";1;2;2;"66001";2010;1;1;0,00;24,94
"1020";1;1;4;"66001";2009;1;2;40000,00;24,94
"1021";1;1;1;"66170";2012;1;1;0,00;29,11
"1021";2;4;1;"66400";2006;1;1;0,00;29,11
"1022";1;1;1;"63001";2013;1;1;0,00;17,74
"1026";1;1;1;"13001";2015;1;1;0,00;212,85
"1026";2;1;1;"66001";2015;1;1;0,00;212,85
"1028";1;1;1;"66001";2014;1;1;0,00;7,15
"1029";1;1;1;"11001";2014;1;1;0,00;137,12
"1029";2;1;1;"63001";2014;1;1;0,00;137,12
"1032";1;1;1;"66001";2014;1;1;0,00;17,74
"1035";1;1;1;"05266";2013;1;1;0,00;19,66
"1037";1;4;1;"63001";2012;1;1;0,00;20,30
"1039";1;4;1;"66001";2014;1;1;0,00;31,84
"1045";1;1;1;"66001";2012;1;1;0,00;61,99
"1046";1;1;1;"76248";1993;1;1;0,00;26,50
"1052";1;4;1;"66001";2013;1;1;0,00;12,73
"1055";1;4;1;"66001";2009;1;1;0,00;164,57
"1056";1;1;1;"66001";2005;1;2;0,00;10,50
"1060";1;4;1;"66001";2014;1;1;0,00;11,92
"1063";1;4;1;"66001";2014;1;1;0,00;11,47
"1065";1;1;1;"11001";2011;1;2;60000,00;71,31
"1073";1;2;3;"76001";1995;1;4;0,00;30,69
