"FORMULARIO";"INGRESOS";"F_EXP"
"1335";10;29,47
"1336";10;27,36
"1337";2;29,47
"1340";1;47,91
"1342";2;28,99
"1343";2;132,70
"1345";4;98,32
"1347";1;34,25
"1348";2;23,72
"1349";1;35,02
"1351";1;103,48
"1352";1;42,28
"1353";2;34,30
"1354";1;27,85
"1355";1;66,97
"1356";10;120,25
"1357";2;40,26
"1359";1;50,43
"1361";4;44,16
"1362";2;37,17
"1363";1;34,92
"1364";2;34,92
"1365";2;312,84
"1366";2;88,54
"1368";4;36,91
"1370";1;10,97
"1373";1;50,49
"1379";2;18,56
"1380";2;34,05
"1383";1;80,46
"1384";10;12,39
"1386";2;8,14
"1387";2;140,14
"1389";2;38,74
"1390";1;26,69
"1391";1;31,83
"1392";2;86,30
"1393";5;59,86
"1394";2;167,91
"1395";2;21,11
"1396";1;22,23
"1397";1;24,43
"1399";2;24,43
"1400";3;8,31
"1401";10;5,49
"1402";3;5,40
"1404";3;37,17
"1405";2;93,61
"1406";1;39,18
"1407";2;44,51
"1409";2;320,26
"1410";1;20,71
"1411";1;6,44
"1412";2;9,75
"1413";1;39,06
"1414";2;10,24
"1415";1;52,80
"1416";2;19,99
"1417";1;19,21
"1418";1;30,46
"1419";3;17,96
"1420";3;57,89
"1421";2;25,02
"1422";2;57,13
"1424";1;42,13
"1425";1;42,70
"1426";2;24,59
"1429";2;27,61
"1430";1;57,34
"1431";1;15,71
"1432";3;11,68
"1433";1;239,07
"1434";2;43,54
"1437";1;10,97
"1438";4;57,55
"1439";1;24,49
"1440";3;25,46
"1441";5;26,44
"1442";1;13,52
"1443";10;11,18
"1444";10;15,30
"1445";10;19,43
"1446";2;83,95
"1448";2;36,91
"1449";3;206,58
"1452";4;29,63
"1453";1;85,95
"1455";5;83,24
"1459";10;64,53
"1464";2;19,47
"1466";2;42,34
"1467";2;40,05
"1468";2;10,22
"1469";3;96,38
"1470";1;11,99
"1472";10;13,11
"1473";10;214,97
"1474";10;17,22
"1475";10;18,26
"1476";10;117,32
"1478";2;53,71
"1479";1;18,71
"1480";1;18,74
"1481";2;112,90
"1482";2;18,24
"1483";2;43,74
"1485";7;121,19
"1486";3;140,01
"1487";10;110,91
"1489";7;134,73
"1490";10;85,44
"1491";10;86,47
"1494";3;101,01
"1495";10;43,74
"1496";10;65,36
"1497";9;19,18
"1498";10;19,68
"1499";7;19,68
"1500";10;98,44
"1501";6;105,46
"1502";3;22,69
"1503";2;54,95
"1504";10;98,02
"1505";6;79,98
"1506";3;65,16
